"titel","laufjahr","laufnummer","beschreibung","thema","seiten","url"
"Zürcher Wohnverhältnisse 1990 - Ergebnisse der Eidgenössischen Wohnungszählung",1994,71,"Ergebnisse der Eidg. Volkszählung, Wohnverhältnisse in der Stadt Zürich nach Besitzverhältnissen, soziodemographischen Merkmalen und Wohnkomfort 1990","Bauen & Wohnen, Wohnen, Wohnungen, Wohnflächenverbrauch, Haushalte, Volkszählung",32,"https://statistik.stadt-zuerich.ch/modules/StatNat/1994/1994_ZSN_Zuercher-Wohnverhaeltnisse-1990-Ergebnisse-der-Eidgenoessischen-Wohnungszaehlung.pdf"
"Paarhaushalte - Ergebnisse der Eidgenössischen Volkszählung 1990",1994,71,"Ergebnisse der Eidg. Volkszählung, Ehe- und Konsensualpaarhaushalte nach soziodemographischen Merkmalen, Anzahl im Haushalt lebender Kinder, Wohnungsgrösse und Stadtquartieren 1990","Bevölkerung, Bauen & Wohnen, Wohnen, Wohnungen, Haushalte, Familie, Volkszählung",21,"https://statistik.stadt-zuerich.ch/modules/StatNat/1994/1994_ZSN_Paarhaushalte-Ergebnisse-der-Eidgenoessischen-Volkszaehlung-1990.pdf"
"Wohnungsbau in der Stadt und in der Agglomeration Zürich, 1994",1995,72,"Entwicklung des Wohnungsbestands in Zürich und Agglomeration 1994","Bauen & Wohnen, Bautätigkeit, Gebäude, Wohnungen, Agglomeration",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1995/1995_ZSN_Wohnungsbau-in-der-Stadt-und-in-der-Agglomeration-Zuerich-1994.pdf"
"Zürcher Städteindex der Konsumentenpreise im Jahre 1994",1995,72,"Durchschnittliche Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten in den Städten des Kantons Zürich 1994","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",25,"https://statistik.stadt-zuerich.ch/modules/StatNat/1995/1995_ZSN_Zuercher-Staedteindex-der-Konsumentenpreise-im-Jahre-1994.pdf"
"Gemeindeabstimmungen in der Stadt Zürich von 1971 bis 1994",1995,72,"Stimmberechtigte, Stimmbeteiligung und Abstimmungsverhalten in den einzelnen Stadtkreisen im Vergleich zur gesamten Stadt Zürich 1971 bis 1994","Stadtkreise, Politik, Abstimmungen",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1995/1995_ZSN_Gemeindeabstimmungen-in-der-Stadt-Zuerich-von-1971-bis-1994.pdf"
"Zürcher Fremdenverkehr im Jahre 1994",1995,72,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1994","Tourismus, Aufenthaltsart, Hotel, Reisen, Übernachtungen",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1995/1995_ZSN_Zuercher-Fremdenverkehr-im-Jahre-1994.pdf"
"Zürcher Bevölkerung im Jahre 1994",1995,72,"Wohnbevölkerung, Bevölkerungsdichte und Bevölkerungsbilanz in der Stadt Zürich und in der Agglomeration 1994","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",31,"https://statistik.stadt-zuerich.ch/modules/StatNat/1995/1995_ZSN_Zuercher-Bevoelkerung-im-Jahre-1994.pdf"
"Leerwohnungszählung in der Stadt Zürich am 1. Juni 1995",1995,72,"Leerwohnungsbestand nach Zimmerzahl und Stadtquartieren in der Stadt Zürich 1995","Bauen & Wohnen, Leerwohnungen, Wohnen, Wohnungen",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1995/1995_ZSN_Leerwohnungszaehlung-in-der-Stadt-Zuerich-am-1-Juni-1995.pdf"
"Zählung leerstehender Industrie- und Geschäftsräume in der Stadt Zürich am 1. Juni 1995",1995,72,"Leerstehende Industrie- und Geschäftsräume nach Nutzungsart und Stadtquartieren in der Stadt Zürich 1995","Leerflächen, Wirtschaft, Mieten, Geschäftslokale, Industrieräume",11,"https://statistik.stadt-zuerich.ch/modules/StatNat/1995/1995_ZSN_Zaehlung-leerstehender-Industrie--und-Geschaeftsraeume-in-der-Stadt-Zuerich-am-1-Juni-1995.pdf"
"Der Einfluss der Mehrwertsteuer auf die Zürcher Teuerung",1995,72,"Analyse der MWSt-bedingten Teuerung von Dezember 1994 bis Juni 1995 auf Grundlage der Entwicklung des Zürcher Städteindexes der Konsumentenpreise 1994 bis 1995","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1995/1995_ZSN_Der-Einfluss-der-Mehrwertsteuer-auf-die-Zuercher-Teuerung.pdf"
"Gewinn- und Verluststimmen-Statistik der Nationalratswahlen 1995 in der Stadt Zürich",1995,72,"Analyse der erhaltenen Stimmen der Kandidatinnen und Kandidaten, unter besonderer Berücksichtigung des Anteils erhaltener Fremdstimmen, nach verschiedenen Kriterien 1995","Wahlen, Nationalratswahlen, Politik",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1995/1995_ZSN_Gewinn--und-Verluststimmen-Statistik-der-Nationalratswahlen-1995-in-der-Stadt-Zuerich.pdf"
"Die beliebtesten Vornamen der 1986 bis 1994 geborenen Kinder mit Wohnort in der Stadt Zürich",1995,72,"Die häufigsten Vornamen der in der Stadt Zürich geborenen Kinder insgesamt und nach Heimatsgruppen 1986 bis 1994","Vornamen",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1995/1995_ZSN_Die-beliebtesten-Vornamen-der-1986-bis-1994-geborenen-Kinder-mit-Wohnort-in-der-Stadt-Zuerich.pdf"
"Gebäude- und Wohnungsbau 1995, sowie Gebäude- und Wohnungsbestand Ende 1995",1996,73,"Entwicklung des Wohnungsbestands in der Stadt Zürich 1995","Bauen & Wohnen, Bautätigkeit, Gebäude, Wohnungen",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1996/1996_ZSN_Gebaeude--und-Wohnungsbau-1995-sowie-Gebaeude--und-Wohnungsbestand-Ende-1995.pdf"
"Zürcher Städteindex der Konsumentenpreise im Jahre 1995",1996,73,"Durchschnittliche Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten in den Städten des Kantons Zürich 1995","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",27,"https://statistik.stadt-zuerich.ch/modules/StatNat/1996/1996_ZSN_Zuercher-Staedteindex-der-Konsumentenpreise-im-Jahre-1995.pdf"
"Todesursachen in Zürich 1990 bis 1994",1996,73,"Mittleres Sterbealter und Todesursachen gesamthaft, nach Geschlecht und nach Altersgruppen (spezifische Sterbeziffern) in der Stadt Zürich 1990 bis 1994","Bevölkerung, Bevölkerungsentwicklung, Gesundheit, Todesursachen, Todesfälle",18,"https://statistik.stadt-zuerich.ch/modules/StatNat/1996/1996_ZSN_Todesursachen-in-Zuerich-1990-bis-1994.pdf"
"Zürcher Fremdenverkehr im Jahre 1995",1996,73,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1995","Tourismus, Aufenthaltsart, Hotel, Reisen, Übernachtungen",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1996/1996_ZSN_Zuercher-Fremdenverkehr-im-Jahre-1995.pdf"
"Zürcher Bevölkerung im Jahre 1995",1996,73,"Wohnbevölkerung, Bevölkerungsdichte und Bevölkerungsbilanz in der Stadt Zürich und in der Agglomeration 1995","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",30,"https://statistik.stadt-zuerich.ch/modules/StatNat/1996/1996_ZSN_Zuercher-Bevoelkerung-im-Jahre-1995.pdf"
"A. Leerwohnungszählung in der Stadt Zürich B. Zählung leerstehender Industrie- und Geschäftslokale, je am 1. Juni 1996",1996,73,"A. Leerwohnungsbestand nach Zimmerzahl und Stadtquartieren in der Stadt Zürich 1996 B. Leerstehende Industrie- und Geschäftsräume nach Nutzungsart und Stadtquartieren in der Stadt Zürich 1996","Bauen & Wohnen, Leerwohnungen, Wohnen, Wohnungen, Leerflächen, Mieten, Geschäftslokale, Industrieräume",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1996/1996_ZSN_A-Leerwohnungszaehlung-in-der-Stadt-Zuerich-B-Zaehlung-leerstehender-_-1-Juni-1996.pdf"
"Die ausländische Wohnbevölkerung in der Stadt Zürich 1970 bis 1995",1996,73,"Entwicklung und Bestand der ausländischen Wohnbevölkerung in der Stadt Zürich 1970 bis 1995","Ausländische Bevölkerung, Aufenthaltsart",29,"https://statistik.stadt-zuerich.ch/modules/StatNat/1996/1996_ZSN_Die-auslaendische-Wohnbevoelkerung-in-der-Stadt-Zuerich-1970-bis-1995.pdf"
"Räumliche Bevölkerungsmobilität in der Stadt Zürich Teil 1: Innerstädtische Umzüge 1991-1995",1996,73,"Umzüge in der Stadt Zürich nach Familienstellung, Heimat und räumicher Kategorie 1991 bis 1995","Umzüge",19,"https://statistik.stadt-zuerich.ch/modules/StatNat/1996/1996_ZSN_Raeumliche-Bevoelkerungsmobilitaet-in-der-Stadt-Zuerich-Teil-1-Innerstaedtische-Umzuege-1991-1995.pdf"
"Personenwagenbestand und kleine Transportfahrzeuge in der Stadt Zürich",1996,73,"Entwicklung des Bestandes der Personenwagen und kleinen Transportfahrzeugen 1993 bis 1996 und Bestand nach Stadtquartieren 1995 1993 bis 1996","Auto, Verkehr, Motorisierter Verkehr",11,"https://statistik.stadt-zuerich.ch/modules/StatNat/1996/1996_ZSN_Personenwagenbestand-und-kleine-Transportfahrzeuge-in-der-Stadt-Zuerich.pdf"
"Strassenverkehrsunfälle in der Stadt Zürich 1992-1995",1996,73,"Strassenverkehrsunfälle nach Unfallursachen, Unfallart, Unfallstelle, Strassenart, Alter, Fahrzeugarten, Unfallzeit etc. 1992 bis 1995","Auto, Verkehr, Unfälle",27,"https://statistik.stadt-zuerich.ch/modules/StatNat/1996/1996_ZSN_Strassenverkehrsunfaelle-in-der-Stadt-Zuerich-1992-1995.pdf"
"Die Verteilung der Steuerkraft nach Alters-, Einkommens- und Vermögensklassen, 1994",1996,73,"Mitteilung, Höhe des versteuerten Reineinkommens und Reinvermögens nach Altersklassen 1994","Vermögen, Einkommen",4,"https://statistik.stadt-zuerich.ch/modules/StatNat/1996/1996_ZSN_Die-Verteilung-der-Steuerkraft-nach-Alters--Einkommens--und-Vermoegensklassen-1994.pdf"
"Die Beschäftigungslage in der Stadt Zürich, 1991-1995",1996,73,"Mitteilung, Entwicklung der Beschäftigten in der Stadt Zürich nach Arbeitsplatzkategorie, Geschlecht und Sektor 1991 bis 1995","Arbeitsmarkt, Beschäftigte",3,"https://statistik.stadt-zuerich.ch/modules/StatNat/1996/1996_ZSN_Die-Beschaeftigungslage-in-der-Stadt-Zuerich-1991-1995.pdf"
"Entwicklung in der Zürcher Hotellerie, 1980-1995",1996,73,"Mitteilung, Hotelübernachtungen, Bettenbestand und -auslastung in der Hotellerie der Stadt Zürich und der Flughafenregion 1980 bis 1995","Tourismus",4,"https://statistik.stadt-zuerich.ch/modules/StatNat/1996/1996_ZSN_Entwicklung-in-der-Zuercher-Hotellerie-1980-1995.pdf"
"Entwicklung des Hypothekarzinssatzes und der Mietpreise bis Herbst 1996",1997,74,"Entwicklung des Zürcher Mietindexes und Hypothekarzinssatzes der Zürcher Kantonalbank 1996","Bauen & Wohnen, Mieten, Wohnen, Indexreihen, Hypothekarzinsen",11,"https://statistik.stadt-zuerich.ch/modules/StatNat/1997/1997_ZSN_Entwicklung-des-Hypothekarzinssatzes-und-der-Mietpreise-bis-Herbst-1996.pdf"
"Gebäude- und Wohnungsbau 1996 Gebäude- und Wohnungsbestand Ende 1996",1997,74,"Entwicklung des Wohnungsbestands in der Stadt Zürich 1996","Bauen & Wohnen, Bautätigkeit, Gebäude, Wohnungen",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1997/1997_ZSN_Gebaeude--und-Wohnungsbau-1996-Gebaeude--und-Wohnungsbestand-Ende-1996.pdf"
"Zürcher Städteindex der Konsumentenpreise im Jahre 1996",1997,74,"Durchschnittliche Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten in den Städten des Kantons Zürich 1996","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",25,"https://statistik.stadt-zuerich.ch/modules/StatNat/1997/1997_ZSN_Zuercher-Staedteindex-der-Konsumentenpreise-im-Jahre-1996.pdf"
"Zürcher Fremdenverkehr im Jahre 1996",1997,74,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1996","Tourismus, Aufenthaltsart, Hotel, Reisen, Übernachtungen",19,"https://statistik.stadt-zuerich.ch/modules/StatNat/1997/1997_ZSN_Zuercher-Fremdenverkehr-im-Jahre-1996.pdf"
"Zürcher Bevölkerung im Jahre 1996",1997,74,"Wohnbevölkerung, Bevölkerungsdichte und Bevölkerungsbilanz in der Stadt Zürich und in der Agglomeration 1996","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",29,"https://statistik.stadt-zuerich.ch/modules/StatNat/1997/1997_ZSN_Zuercher-Bevoelkerung-im-Jahre-1996.pdf"
"Betriebszählung 1995 in der Stadt Zürich",1997,74,"Ergebnisse der Eidgenössischen Betriebszählung von 1995 für die Stadt Zürich, Arbeitsstätten und deren Beschäftige nach Betriebstypen, Wirtschaftsklassen, Stadtquartieren etc. 1995","Wirtschaft, Beschäftigte, Betriebe, Branchen, Betriebszählung",27,"https://statistik.stadt-zuerich.ch/modules/StatNat/1997/1997_ZSN_Betriebszaehlung-1995-in-der-Stadt-Zuerich.pdf"
"A. Leerwohnungszählung in der Stadt Zürich B. Zählung leerstehender Industrie- und Geschäftslokale, je am 1. Juni 1997",1997,74,"A. Leerwohnungsbestand nach Zimmerzahl und Stadtquartieren in der Stadt Zürich 1997 B. Leerstehende Industrie- und Geschäftsräume nach Nutzungsart und Stadtquartieren in der Stadt Zürich 1997","Bauen & Wohnen, Leerwohnungen, Wohnen, Wohnungen, Leerflächen, Mieten, Geschäftslokale, Industrieräume",21,"https://statistik.stadt-zuerich.ch/modules/StatNat/1997/1997_ZSN_A-Leerwohnungszaehlung-in-der-Stadt-Zuerich-B-Zaehlung-leerstehender-Industrie-_-1-Juni-1997.pdf"
"Arbeitsstätten und Arbeitsplätze in der Agglomeration Zürich Ergebnisse der Betriebszählung 1995",1997,74,"Ergebnisse der Eidgenössischen Betriebszählung von 1995 für die Agglomeration Zürich, Arbeitsstätten und deren Beschäftige nach Betriebstypen, Wirtschaftsklassen, Gemeinden etc. 1995","Wirtschaft, Beschäftigte, Betriebe, Branchen, Betriebszählung, Agglomeration",37,"https://statistik.stadt-zuerich.ch/modules/StatNat/1997/1997_ZSN_Arbeitsstaetten-und-Arbeitsplaetze-in-der-Agglomeration-Zuerich-Ergebnisse-der-Betriebszaehlung-1995.pdf"
"Räumliche Bevölkerungsmobilität in der Stadt Zürich Teil 2: Zu- und Wegzüge 1991-1995",1997,74,"Zuzüge in die und Wegzüge aus der Stadt Zürich nach Wegzugs- und Zuzugsort, Familienstellung, Alter, Aufenthaltsdauer, Heimat und Wanderungssalden 1991 bis 1995","Zuzüge, Wegzüge, Bevölkerungsentwicklung, Wanderungssaldo",29,"https://statistik.stadt-zuerich.ch/modules/StatNat/1997/1997_ZSN_Raeumliche-Bevoelkerungsmobilitaet-in-der-Stadt-Zuerich-Teil-2-Zu--und-Wegzuege-1991-1995.pdf"
"A. «Kaskadenverkäufe» in der Stadt Zürich Mehrfache Handänderungen gleicher Liegenschaften, 1985-1996 B. Mietzinsniveau der Wohnungs-Parkplätze in der Stadt Zürich und in den übrigen Städten des Kantons",1997,74,"A. Gewinn- bzw. Verlustentwicklung bei mehrfacher Handänderung gleicher Liegenschaften 1985 bis 1996 B. Entwicklung des Index für Wohnungs-Parkplätze in den Städten des Kantons Zürich 1993 bis 1997","Indexreihen, Bauen & Wohnen, Grundstückpreise, Liegenschaftenhandel",15,"https://statistik.stadt-zuerich.ch/modules/StatNat/1997/1997_ZSN_A-Kaskadenverkaeufe-in-der-Stadt-Zuerich-Mehrfache-Handaenderungen-_-Parkp.pdf"
"Hauptergebnisse der Betriebszählung 1995 für die Stadt Zürich",1997,74,"Mitteilung, Hauptergebnisse der Eidgenössischen Betriebszählung 1995, Beschäftigte nach Arbeitszeit und Wirtschaftsklassen in der Stadt Zürich1995","Wirtschaft, Beschäftigte, Branchen, Betriebszählung",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1997/1997_ZSN_Hauptergebnisse-der-Betriebszsaehlung-1995-fuer-die-Stadt-Zuerich.pdf"
"Hauptergebnisse der Betriebszählung 1995 für die Agglomeration Zürich",1997,74,"Mitteilung, Hauptergebnisse der Eidgenössischen Betriebszählung 1995, Arbeitsstätten und Beschäftigte nach Arbeitsgemeinde und Wirtschaftsklassen in der Agglomeration Zürich 1995","Wirtschaft, Beschäftigte, Branchen, Betriebszählung, Agglomeration",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1997/1997_ZSN_Hauptergebnisse-der-Betriebszaehlung-1995-fuer-die-Agglomeration-Zuerich.pdf"
"Betriebszählung 1995 in der Stadt Zürich, Ergebnisse nach Arbeitszeitkategorien",1997,74,"Mitteilung, Ergebnisse der Eidgenössischen Betriebszählung 1995, Beschäftigte nach Arbeitszeitkategorie in der Stadt Zürich 1995","Wirtschaft, Beschäftigte, Branchen, Betriebszählung",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1997/1997_ZSN_Betriebszaehlung-1995-in-der-Stadt-Zuerich-Ergebnisse-nach-Arbeitszeitkategorien.pdf"
"Leerwohnungszählung in der Stadt Zürich am 1. Juni 1997",1997,74,"Mitteilung, Provisorische Ergebnisse der Leerwohnungszählung vom 1. Juni 1997","Bauen & Wohnen, Leerwohnungen, Wohnungen, Mieten",2,"https://statistik.stadt-zuerich.ch/modules/StatNat/1997/1997_ZSN_Leerwohnungszaehlung-in-der-Stadt-Zuerich-am-1-Juni-1997.pdf"
"Gebäude- und Wohnungsbau 1997 Gebäude- und Wohnungsbestand Ende 1997",1998,75,"Entwicklung des Wohnungsbestands in der Stadt Zürich 1997","Bauen & Wohnen, Bautätigkeit, Gebäude, Wohnungen",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1998/1998_ZSN_Gebaeude--und-Wohnungsbau-1997-Gebaeude--und-Wohnungsbestand-Ende-1997.pdf"
"Zürcher Städteindex der Konsumentenpreise im Jahre 1997",1998,75,"Durchschnittliche Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten in den Städten des Kantons Zürich 1997","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",27,"https://statistik.stadt-zuerich.ch/modules/StatNat/1998/1998_ZSN_Zuercher-Staedteindex-der-Konsumentenpreise-im-Jahre-1997.pdf"
"Zürcher Bevölkerung im Jahre 1997",1998,75,"Wohnbevölkerung, Bevölkerungsdichte und Bevölkerungsbilanz in der Stadt Zürich und in der Agglomeration 1997","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",31,"https://statistik.stadt-zuerich.ch/modules/StatNat/1998/1998_ZSN_Zuercher-Bevoelkerung-im-Jahre-1997.pdf"
"Zürcher Fremdenverkehr im Jahre 1997",1998,75,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1997","Tourismus, Aufenthaltsart, Hotel, Reisen, Übernachtungen",19,"https://statistik.stadt-zuerich.ch/modules/StatNat/1998/1998_ZSN_Zuercher-Fremdenverkehr-im-Jahre-1997.pdf"
"A. Leerwohnungszählung in der Stadt Zürich B. Zählung leerstehender Industrie- und Geschäftsflächen in der Stadt Zürich je am 1. Juni 1998",1998,75,"A. Leerwohnungsbestand nach Zimmerzahl und Stadtquartieren in der Stadt Zürich 1998 B. Leerstehende Industrie- und Geschäftsräume nach Nutzungsart und Stadtquartieren in der Stadt Zürich 1998","Bauen & Wohnen, Leerwohnungen, Wohnen, Wohnungen, Leerflächen, Mieten, Geschäftslokale, Industrieräume",21,"https://statistik.stadt-zuerich.ch/modules/StatNat/1998/1998_ZSN_A-Leerwohnungszaehlung-in-der-Stadt-Zuerich-B-Zaehlung-leerstehender-Industrie-_-1-Juni.pdf"
"Reineinkommen und Reinvermögen natürlicher Personen nach Quartier in der Stadt Zürich 1997",1998,75,"Steuerpflichtige natürliche Personen nach Reineinkommen, Reinvermögen, Steuerbetrag, Tarif, Altersklasse, Stadtkreis und Quartier 1997","Einkommen, Steuern, Vermögen",43,"https://statistik.stadt-zuerich.ch/modules/StatNat/1998/1998_ZSN_Reineinkommen-und-Reinvermoegen-natuerlicher-Personen-nach-Quartier-in-der-Stadt-Zuerich-1997.pdf"
"Die schweizerische Wohnbevölkerung in der Stadt Zürich 1970 bis 1997",1998,75,"Entwicklung der Schweizerischen Wohnbevölkerung in der Stadt Zürich durch natürliche und räumliche Bevölkerungsbewegungen 1970 bis 1997","Bevölkerung, Bevölkerungsentwicklung, Bevölkerungsbestand",25,"https://statistik.stadt-zuerich.ch/modules/StatNat/1998/1998_ZSN_Die-schweizerische-Wohnbevoelkerung-in-der-Stadt-Zuerich-1970-bis-1997.pdf"
"Wahlabstinenz bei den Zürcher Gemeindewahlen vom 1. März 1998",1998,75,"Die Nichtwähler bei den Gemeindewahlen nach Alter, Geschlecht, Zivilstand, Konfession, Sozialgruppen, Heimat, Stadtquartieren etc. 1998","Gemeinderatswahlen, Stadtratswahlen, Wahlen, Politik, Wahlbeteiligung",21,"https://statistik.stadt-zuerich.ch/modules/StatNat/1998/1998_ZSN_Wahlabstinenz-bei-den-Zuercher-Gemeindewahlen-vom-1-Maerz 1998.pdf"
"Gemeinderatswahlen vom 1. März 1998 Herkunft der Stimmen",1998,75,"Mitteilung, Die Herkunft der Stimmen bei den Züricher Gemeinderatswahlen 1998","Politik, Wahlen, Gemeinderatswahlen",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1998/1998_ZSN_Gemeinderatswahlen-vom-1-Maerz-1998-Herkunft-der-Stimmen.pdf"
"Gemeinderatswahlen vom 1. März 1998 Wählende, Wahlberechtigte und Gewählte",1998,75,"Mitteilung, Wählende, Wahlberechtigte und Merkmale der Gewählten bei den Zürcher Gemeinderatswahlen 1998","Politik, Wahlen, Gemeinderatswahlen",4,"https://statistik.stadt-zuerich.ch/modules/StatNat/1998/1998_ZSN_Gemeinderatswahlen-vom-1-Maerz-1998-Waehlende-Wahlberechtigte-und-Gewaehlte.pdf"
"Stadtrats- und Stadtpräsidiumswahlen vom 1. März 1998",1998,75,"Mitteilung, Stimmenverteilung bei den Züricher Stadtrats- und Stadtpräsidiumswahlen 1998","Politik, Wahlen, Stadtratswahlen",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1998/1998_ZSN_Stadtrats--und-Stadtpraesidiumswahlen-vom-1-Maerz-1998.pdf"
